# lectura de los datos del sistema
param Sbase :=   100;  # potencia base en MVA
param thmax = 0.6;
#param Vnom := 1; # p.u. 

# lectura de los datos de barra
param: OB:Nome  Tb      V0     th0      Pd       Qd     Pg0      Qg0      Vg    Qgmax    Qgmin     gsh     bsh    Vmax    Vmin 	Qsvc_min	Qsvc_max	   Pgmin	Pgmax:=
#                     [pu]  [grad]    [MW]   [MVAr]    [MW]   [MVAr]    [pu]   [MVAr]   [MVAr]    [pu]    [pu]    [pu]    [pu]   	[pu]    	[pu]       [MW]     [MW]
      
	   1  "B01"   3   1.060   0.00     0.0      0.0   100.0      8.9   1.060    300.0      8.9   0.000   0.000   1.10   0.950		0.00		0.00	  000.00	 320.00
       2  "B02"   2   1.045  -4.98    21.7     12.7    28.4     11.1   1.045     50.0    -40.0   0.000   0.000   1.10   0.950	    0.00		0.00	    0.00	  80.00
       3  "B03"   2   1.043 -0.436    94.2     19.0    87.9     17.1   0.000     40.0      0.0   0.000   0.000   1.10   0.950		0.00		0.00	   00.00	  90.00
       4  "B04"   0   1.019  -9.62    47.8     -3.9     0.0      0.0   0.000      0.0      0.0   0.000   0.000   1.10   0.950		0.00		0.00	    0.00	 000.00
       5  "B05"   0   1.020 -08.78     7.6      1.6     0.0     00.0   0.000      0.0      0.0   0.000   0.000   1.10   0.950		0.00	   00.00		0.00	 000.00
       6  "B06"   2   1.070 -14.22    11.2      7.5    49.2     -0.8   1.070     24.0     -6.0   0.000   0.000   1.10   0.950	    0.00		0.00	    0.00	  90.00
       7  "B07"   0   1.062 -13.37    00.0      0.0     0.0      0.0   0.000      0.0      0.0   0.000   0.000   1.10   0.950		0.00		0.00		0.00	  00.00
       8  "B08"   2   1.090 -13.37    00.0     00.0    85.8     13.2   1.090     24.0     -6.0   0.000   0.000   1.10   0.950	    0.00		0.00	    0.00	  90.00
       9  "B09"   2   1.050 -14.95    29.5     16.6     0.0      0.0   1.050      0.0      0.0   0.000   0.000   1.10   0.950	  -10.00	   50.00		0.00	 000.00
      10  "B10"   0   1.051 -15.10     9.0      5.8     0.0      0.0   0.000      0.0      0.0   0.000   0.000   1.10   0.950	    0.00	    0.00		0.00	 000.00
      11  "B11"   0   1.057 -14.80     3.5      1.8     0.0     0.00   0.000      0.0      0.0   0.000   0.000   1.10   0.950		0.00		0.00		0.00	 000.00
      12  "B12"   0   1.055 -15.08     6.1      1.6     0.0      0.0   0.000      0.0      0.0   0.000   0.000   1.10   0.950	    0.00		0.00		0.00	 000.00
      13  "B13"   0   1.050 -15.16    13.5      5.8     0.0     0.00   0.000      0.0      0.0   0.000   0.000   1.10   0.950		0.00		0.00		0.00	 000.00
      14  "B14"   0   1.036 -16.04    14.9      5.0     0.0      0.0   0.000      0.0      0.0   0.000   0.000   1.10   0.950		0.00		0.00		0.00	 000.00
; 

# lectura de los datos de líneas y trafos
param: OL:      
               Tr        r         x    bshl       a    amax    amin      fi    Smax :=
#   k    i    j        [pu]      [pu]    [pu]                          [grad]   [MVA]
    1    1    2  0   0.0390    0.1180  0.0264  0.0000  0.0000  0.0000     0.0     228
    2    1    2  0   0.0390    0.1180  0.0264  0.0000  0.0000  0.0000     0.0     228	
    3    1    5  0   0.0540    0.2230  0.0490  0.0000  0.0000  0.0000     0.0     228
    4    2    3  0   0.0470    0.1979  0.0440  0.0000  0.0000  0.0000     0.0     228
    5    2    4  0   0.0581    0.1763  0.0370  0.0000  0.0000  0.0000     0.0     228
    6    2    5  0   0.0569    0.1738  0.0340  0.0000  0.0000  0.0000     0.0     228
    7    3    4  0   0.0670    0.1710  0.0350  0.0000  0.0000  0.0000     0.0     228
    8    4    5  0   0.0133    0.0421  0.0128  0.0000  0.0000  0.0000     0.0     228
    9    6   11  0   0.0949    0.1989  0.0000  0.0000  0.0000  0.0000     0.0      57
   10    6   12  0   0.1229    0.2558  0.0000  0.0000  0.0000  0.0000     0.0      57
   11    6   13  0   0.0661    0.1302  0.0000  0.0000  0.0000  0.9000     0.0      57
   12    9   10  0   0.0318    0.0845  0.0000  0.0000  0.0000  0.9000     0.0      57
   13    9   14  0   0.1271    0.2703  0.0000  0.0000  0.0000  0.0000     0.0      57
   14   10   11  0   0.0820    0.1920  0.0000  0.0000  0.0000  0.0000     0.0      57
   15   12   13  0   0.2209    0.1998  0.0000  0.0000  0.0000  0.9000     0.0      57
   16   13   14  0   0.1709    0.3480  0.0000  0.0000  0.0000  0.0000     0.0      57
   17   04   07  1   0.0000    0.2091  0.0000  0.9780  1.1000  0.9000     0.0     100
   18   04   09  1   0.0000    0.5561  0.0000  0.9690  1.1000  0.9000     0.0     100
   19   05   06  1   0.0000    0.2520  0.0000  0.9320  1.1000  0.9000     0.0     100
   20   07   08  1   0.0000    0.1761  0.0000  1.0000  1.1000  0.9000     0.0     100
   21   07   09  1   0.0000    0.1100  0.0000  1.0000  1.1000  0.9000     0.0     100
;
